Baseline_method	idf	condition	dataset	train_MAP	dev_MAP	test_MAP	Notes/Comments
idf_sum_similarity	dataset	no_stopping + no_stemming	TrecQA	0.7744	0.7668	0.7014	IDF is computed over terms in the train, dev and test sets
idf_sum_similarity	dataset	with_stopping + with_stemming	TrecQA				
idf_sum_similarity	dataset	no_stopping + no_stemming	WikiQA				There is less overlap between questions and answers in the WikiQA dataset
idf_sum_similarity	dataset	with_stopping + with_stemming	WikiQA				
idf_sum_similarity	Corpus	no_stopping + no_stemming	TrecQA	0.6736	0.728	0.6377	IDF is computed over terms in disks1-5 and aquaint
idf_sum_similarity	Corpus	with_stopping + with_stemming	TrecQA	0.7032	0.7281	0.672	
idf_sum_similarity	Corpus	no_stopping + no_stemming	WikiQA	0.0002	0	0.0008	IDF is computed over terms in Wikipedia
idf_sum_similarity	Corpus	with_stopping + with_stemming	WikiQA	0.0005	0	0.0016	
sm_model	NA	no_idf_overlap_features	TrecQA				sm_model_run.py
sm_model	Dataset – test	with_corrected_idf_overlap_features	TrecQA				
sm_model	Dataset 	with_corrected_idf_overlap_features	TrecQA				
sm_model	Corpus	with_corrected_idf_overlap_features	TrecQA				
sm_model	Dataset – test	with_fractional_idf_overlap_features	TrecQA				
sm_model	Dataset	with_fractional_idf_overlap_features	TrecQA				
sm_model	Corpus	with_fractional_idf_overlap_features	TrecQA				
sm_model	NA	no_idf_overlap_features	WikiQA				
sm_model	Dataset – test	with_corrected_idf_overlap_features	WikiQA				
sm_model	Dataset 	with_corrected_idf_overlap_features	WikiQA				
sm_model	Corpus	with_corrected_idf_overlap_features	WikiQA				
sm_model	Dataset – test	with_fractional_idf_overlap_features	WikiQA				
sm_model	Dataset	with_fractional_idf_overlap_features	WikiQA				
sm_model	Corpus	with_fractional_idf_overlap_features	WikiQA				
